"filename", "language", "Batch", "JSON", "Markdown", "Lua", "comment", "blank", "total"
"c:\code\lovecraftVR\engine\Manipulation\init.lua", "Lua", 0, 0, 0, 0, 0, 1, 1
"c:\code\lovecraftVR\engine\Networking.lua", "Lua", 0, 0, 0, 28, 0, 9, 37
"c:\code\lovecraftVR\engine\Ownership.lua", "Lua", 0, 0, 0, 11, 0, 4, 15
"c:\code\lovecraftVR\engine\Physics\LineSolver.lua", "Lua", 0, 0, 0, 22, 0, 6, 28
"c:\code\lovecraftVR\engine\Physics\PointSolver.lua", "Lua", 0, 0, 0, 73, 2, 18, 93
"c:\code\lovecraftVR\engine\Physics\RotationSolver.lua", "Lua", 0, 0, 0, 17, 9, 11, 37
"c:\code\lovecraftVR\engine\Physics\Solver.lua", "Lua", 0, 0, 0, 28, 0, 12, 40
"c:\code\lovecraftVR\engine\Physics\SurfaceSolver.lua", "Lua", 0, 0, 0, 3, 0, 6, 9
"c:\code\lovecraftVR\engine\Physics\init.lua", "Lua", 0, 0, 0, 5, 0, 2, 7
"c:\code\lovecraftVR\engine\Tests\GunTester.lua", "Lua", 0, 0, 0, 0, 0, 1, 1
"c:\code\lovecraftVR\engine\VRHand\controller.lua", "Lua", 0, 0, 0, 0, 0, 1, 1
"c:\code\lovecraftVR\engine\VRHand\grabbing.lua", "Lua", 0, 0, 0, 0, 0, 1, 1
"c:\code\lovecraftVR\engine\VRHand\init.lua", "Lua", 0, 0, 0, 255, 59, 61, 375
"c:\code\lovecraftVR\gendocs.bat", "Batch", 1, 0, 0, 0, 0, 0, 1
"c:\code\lovecraftVR\server\Main\datahighlight.lua", "Lua", 0, 0, 0, 7, 0, 8, 15
"c:\code\lovecraftVR\server\Main\givehands.lua", "Lua", 0, 0, 0, 19, 4, 8, 31
"c:\code\lovecraftVR\server\Main\init.server.lua", "Lua", 0, 0, 0, 114, 30, 38, 182
"c:\code\lovecraftVR\server\Main\itemownerlist.lua", "Lua", 0, 0, 0, 36, 0, 11, 47
"c:\code\lovecraftVR\server\Main\loadanims.lua", "Lua", 0, 0, 0, 33, 6, 9, 48
"c:\code\lovecraftVR\server\Main\stats.lua", "Lua", 0, 0, 0, 12, 2, 3, 17
"c:\code\lovecraftVR\server\gm_deathmatch.lua", "Lua", 0, 0, 0, 1, 0, 0, 1
"c:\code\lovecraftVR\server\gm_planetarium.lua", "Lua", 0, 0, 0, 0, 0, 1, 1
"c:\code\lovecraftVR\server\gm_sandbox.lua", "Lua", 0, 0, 0, 0, 0, 1, 1
"Total", "-", 1, 58, 28, 2551, 354, 741, 3733
